account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Fidelity Investments,Brian Ciofrone,"Vice President, Trading Operations",https://www.linkedin.com/in/brianciofrone/,"Vice President, Trading Operations",Fidelity Investments,2023-01,current,
Fidelity Investments,Clint Brandner,Head of Brokerage Operations,https://www.linkedin.com/in/clint-brandner-262392a/,Head of Brokerage Operations,Fidelity Investments,2021-12,current,
Fidelity Investments,Danielle Deja,"Head of Implementation, Client Service Management and Operations",https://www.linkedin.com/in/danielle-deja-b133aa164/,"Head of Implementation, Client Service Management and Operations",Fidelity Investments,2001-06,current,
Fidelity Investments,Dyann Kiessling,Head of Global Bond Trading Operations,https://www.linkedin.com/in/dyann-kiessling-852b054b/,Head of Global Bond Trading Operations,Fidelity Investments,2005-03,current,
Fidelity Investments,Emris Varghese,Head of Shared Services,https://www.linkedin.com/in/emris-varghese-61032113/,Head of Shared Services,Fidelity Investments,2025-01,current,
Fidelity Investments,Frank Hedglin,Vice President - Securities Lending Operations,https://www.linkedin.com/in/frank-hedglin-43a5138/,Vice President - Securities Lending Operations,Fidelity Investments,2022-07,current,
Fidelity Investments,Jamie Andrea,Head of Client Services & Operations,https://www.linkedin.com/in/jamie-andrea-86393a7/,Head of Client Services & Operations,Fidelity Investments,2019-07,current,
Fidelity Investments,Andre Alexander,"Director, Brokerage Operations",https://www.linkedin.com/in/andre-alexander-4b033164/,"Director, Brokerage Operations",Fidelity Investments,2021-09,current,
Fidelity Investments,Chris Tremblay,"Director, Global Workforce Optimization - Workplace Investing",https://www.linkedin.com/in/chris-tremblay-1a764a4/,"Director, Global Workforce Optimization - Workplace Investing",Fidelity Investments,2022-02,current,
Fidelity Investments,Claribel Made’,Director of Brokerage Operations,https://www.linkedin.com/in/claribel-made’-589a46242/,Director of Brokerage Operations,Fidelity Investments,2015-01,current,
Fidelity Investments,"Daniel Saxon, CFA",Director - Fund Operations | Pricing,https://www.linkedin.com/in/danielsaxon/,Director - Fund Operations | Pricing,Fidelity Investments,2025-05,current,
Fidelity Investments,Daria Brazile,Director of Business & People Operations,https://www.linkedin.com/in/daria-brazile-ba742684/,Director of Business & People Operations,Fidelity Investments,2023-04,dual,"2 profiles returned (daria-brazile-ba742684 and daria-siegelman-ba742684), identical title/start/location, same slug suffix so likely one person under a renamed URL; picked the name-matching URL; current at Fidelity"
Fidelity Investments,Daria Siegelman Brazile,Director of Business & People Operations,https://www.linkedin.com/in/daria-siegelman-ba742684/,Director of Business & People Operations,Fidelity Investments,2023-04,dual,"2 profiles returned (daria-siegelman-ba742684 and daria-brazile-ba742684), identical title/start/location, same slug suffix so likely one person under a renamed URL; picked the name-matching URL; current at Fidelity; duplicate of the Daria Brazile row"
National Grid,Jeffrey Poor,Director Meter Data Services,https://www.linkedin.com/in/jeffrey-poor-3634762a/,President of the school board,Jordan-Elbridge Central School District,2024-07,left,"New company per latest experience: Jordan-Elbridge Central School District (Syracuse area, school-board role). Likely a volunteer position listed on top; National Grid tenure may continue, verify"
National Grid,Joe Weber,"Director, Claims",https://www.linkedin.com/in/joe-weber-07832968/,"Director, Claims",National Grid,2007-09,current,
National Grid,"Ryan Dinneen, CSP","Director, Absence Management",https://www.linkedin.com/in/ryan-dinneen-csp-4652144a/,"Director, Absence Management",National Grid,2024-06,current,
National Grid,Stephen DeRosa,Procurement Director,https://www.linkedin.com/in/stephen-derosa-c-p-m-96445716/,Procurement Director,National Grid,2015-10,current,
National Grid,Tess Overdyk,"Director, Absence & Disability Management",https://www.linkedin.com/in/tess-overdyk-0121281a2/,"Director, Absence & Disability Management",National Grid,2024-08,current,
Truist,Heather Wingo,"SVP, Strategic Workforce Planning Strategist",https://www.linkedin.com/in/heatherwingo/,"SVP, Strategic Workforce Planning Strategist",Truist,2026-08,current,
Truist,"Jennifer Cline, GPHR","SVP, Strategic Workforce Planning",https://www.linkedin.com/in/jennifercline/,"SVP, Strategic Workforce Planning",Truist,2023-03,current,
Truist,John W Feldmann,Mortgage Servicing Rights Quantitative Senior Vice President,https://www.linkedin.com/in/john-w-feldmann-11792045/,Mortgage Servicing Rights Quantitative Senior Vice President,Truist,2025-03,current,
Truist,Renee Franck,"SVP, Head of Consumer Indirect Lending Operations",https://www.linkedin.com/in/renee-franck-2197b86/,"SVP, Head of Consumer Indirect Lending Operations",Truist,2024-01,current,
Truist,Shayna Rendenna,Product Owner | Banking Operations Group Manager | Senior Vice President,https://www.linkedin.com/in/shayna-rendenna-0327812a/,Product Owner | Banking Operations Group Manager | Senior Vice President,Truist,2006-11,current,
Truist,Tony Wilkinson,SVP - Application Configuration and Operations Manager,https://www.linkedin.com/in/anthonyrwilkinson/,SVP - Application Configuration and Operations Manager,Truist,2022-10,current,
Truist,"Trenice Wade, MA",SVP - Workforce Management and Engagement Strategist,https://www.linkedin.com/in/trenice-wade-3aa8b765/,SVP - Workforce Management and Engagement Strategist,Truist,2026-01,current,
Truist,Christopher Rees,Senior Vice President Operations,https://www.linkedin.com/in/christopher-rees-7099b31b/,Senior Vice President Operations,Truist,2021-01,current,
Truist,Dawn Adamson,Senior Vice President - Media Agency Operations,https://www.linkedin.com/in/dawn-adamson-b081805/,Senior Vice President - Media Agency Operations,Truist,2024-06,current,
Truist,Edward Goudy,"Senior Vice President, Image Services Sr. Operations Manager",https://www.linkedin.com/in/edward-goudy-30864915/,"Senior Vice President, Image Services Sr. Operations Manager",Truist,2016-07,current,
Truist,Emily Walker,"Senior Operations Manager, SVP",https://www.linkedin.com/in/emily-walker-905017126/,"Senior Operations Manager, SVP",Truist,2016,current,
Truist,Erick Hines,Senior Vice President Operations,https://www.linkedin.com/in/erick-hines-1a2a5841/,Senior Vice President Operations,Truist,2022-01,current,
Truist,"Shannon Vanderhill, MFA","Design Director I, Director of Sprint Studio, Shared Services & Business Office",https://www.linkedin.com/in/shannonvanderhill/,"Design Director I, Director of Sprint Studio, Shared Services & Business Office",Truist,2022-09,current,
Regions Financial,Erical D. Booker,Payment Operations Manager- VP,https://www.linkedin.com/in/erical-booker/,Payment Operations Manager- VP,Regions Bank,2020-06,current,
Regions Financial,Jeff Keyseear,"Loan Operations Manager, Vice President",https://www.linkedin.com/in/jeff-keyseear-9116192/,"Loan Operations Manager, Vice President",Regions Bank,2024-05,current,
Regions Financial,Linda Banks,"Vice President, Manager Active Collections",https://www.linkedin.com/in/linda-banks-5ab82958/,Vice President,Regions Bank,,current,Profile returns generic title 'Vice President' with no start date
Regions Financial,Ron Richardson,VP Mgr Collections MIS,https://www.linkedin.com/in/ron-richardson-7147811b/,VP Mgr Collections MIS,Regions Bank,2008-11,current,
Regions Financial,Sarvjeet Kaur,Vice President-Business Systems Manager,https://www.linkedin.com/in/sarvjeet-kaur-86509613/,Vice President-Business Systems Manager,Regions Bank,2016-10,current,
Regions Financial,Scott Gust,Head of Commercial Lending Operations,https://www.linkedin.com/in/scottgust/,Head of Commercial Lending Operations,Regions Bank,2025-05,current,
Regions Financial,Shonda Duffey,Head of Regions Business Capital Loan Operations,https://www.linkedin.com/in/shondaduffey/,Head of Regions Business Capital Loan Operations,Regions Bank,2023-07,current,
Regions Financial,Ej Atkins,"Senior Operations Director, Vice President",https://www.linkedin.com/in/ej-atkins-0725364/,"Senior Operations Director, Vice President",Regions Bank,,current,No start date returned
Regions Financial,James Dempsey,Corporate Trust Operations Manager VP,https://www.linkedin.com/in/james-dempsey-908472aa/,Corporate Trust Operations Manager VP,Regions Bank,2016-06,current,
Regions Financial,Jane Sebeck,Vice President - Operations,https://www.linkedin.com/in/jane-sebeck-248aa214/,Vice President - Operations,Regions Bank,,dual,"2 profiles returned at Regions Bank: jane-sebeck-248aa214 (Vice President - Operations, Freeburg IL) and jane-sebeck-b614588 (Vice President, Belleville IL); picked 248aa214 because its title matches the input exactly; neither has a start date; both current at Regions"
Regions Financial,Judy Burton,"Vice President, Little Rock Operations Manager",https://www.linkedin.com/in/judy-burton-7a13317/,"Vice President, Little Rock Operations Manager",Regions Bank,,current,No start date returned
Regions Financial,Kevin LoPresto,Head of Optimization - Enterprise Operations,https://www.linkedin.com/in/kevin-lopresto-1142b127b/,Head of Optimization - Enterprise Operations,Regions Bank,2026-04,current,
Regions Financial,Brad Raines,"Director, Credit Products Administration Operational Excellence",https://www.linkedin.com/in/brad-raines-124a635/,"Director, Credit Products Administration Operational Excellence",Regions Bank,2024-10,current,
