account,full_name,title,linkedin_url
Prudential Financial,Brian Barnard,Vice President Treasury,https://www.linkedin.com/in/brian-barnard-91841a211/
Prudential Financial,Warren Hoffman,"VP, Operations",https://www.linkedin.com/in/warren-hoffman-45b45030/
Prudential Financial,Tj Frabizio,Vice President - Accounting,https://www.linkedin.com/in/tj-frabizio-4b03273/
Prudential Financial,Karan Sood,Vice President  Group Insurance,https://www.linkedin.com/in/karanrsood/
Prudential Financial,Natalie Schneidereit,"Vice President, Claims",https://www.linkedin.com/in/natalie-schneidereit-5659918/
Prudential Financial,Gerry Freitas,Vice President Sourcing,https://www.linkedin.com/in/gerryfreitas/
Rogers Communications,Cory Chemerys,Director of Operations,https://www.linkedin.com/in/cory-chemerys-503556130/
Travelers,Phyllis K. Peck,"2nd VP, Business Insurance Line Lead, Claim University",https://www.linkedin.com/in/phyllis-k-peck-21743989/
Travelers,Beth Kelley,"Vice President, Corporate Finance, ERP Administration, General Ledger, and Expense Operations",https://www.linkedin.com/in/beth-kelley-89869931/
Travelers,Heather Carson,"Managing Director & Counsel, Financial Institution Claims, Bond & Specialty Insurance",https://www.linkedin.com/in/heather-carson-7b2b5212/
Travelers,Brian Grant,Vice President and Controller – Claim,https://www.linkedin.com/in/brian-grant-53aa789/
Travelers,Stan Prushinski,Managing Director Claim Strategy,https://www.linkedin.com/in/stan-prushinski-9063501/
Travelers,Mindy Frana,Vice President Operations,https://www.linkedin.com/in/mindy-frana-b95a27153/
Travelers,Andrew Simon,Vice President Operations,https://www.linkedin.com/in/andrew-simon-a7a18a7/
Travelers,Marc Margolis,2nd Vice President Claim Customer Services Notice of Loss,https://www.linkedin.com/in/marc-margolis-5ba3aa10/
Travelers,Terence Harris,Vice President - Specialty Claim,https://www.linkedin.com/in/terence-harris-b5122484/
Travelers,"Amy White, AFSB",Managing Director - Bond & Specialty Insurance Claim,https://www.linkedin.com/in/amy-white-afsb-9845776/
Travelers,"Marcella Federico-Manning, CPA","Vice President, Controller - Business Insurance",https://www.linkedin.com/in/marcella-federico-manning-cpa-683a0923/
Travelers,Paul Munson,SVP and Corporate Controller at Travelers,https://www.linkedin.com/in/paul-munson-633404b/
Travelers,Tara Burket,Vice President Finance and Controller at Travelers,https://www.linkedin.com/in/tara-burket-2b8a6124b/
Travelers,Dave French,SVP Administrative Services,https://www.linkedin.com/in/dave-french-b55316162/
Travelers,Brian Brinkman,2VP Claim Business Delivery,https://www.linkedin.com/in/brian-brinkman-404a1b23/
Travelers,Suzanne South,Director Workforce Analytics,https://www.linkedin.com/in/suzanne-south-94aa9a161/
Zurich North America,Scott Polcyn,Head of Claims Strategy and Innovation,https://www.linkedin.com/in/scott-polcyn-641a8226/
Zurich North America,Japhet Boutin,Head of Technical Claims,https://www.linkedin.com/in/japhet-boutin-596539117/
Zurich North America,Joseph Ragonese,Head of Claims Governance & Assurance,https://www.linkedin.com/in/joseph-ragonese-07047120/
Zurich North America,Kenneth Nigro,"VP, Head of Claims Quality",https://www.linkedin.com/in/kenneth-nigro-97965a72/
