account,full_name,input_title,linkedin_url,fresh_title,fresh_company,latest_start,status,note
Elevance Health,Carla Brawner,"Director II, Individual Enrollment & Billing Central and East Region",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com"
Elevance Health,Traci G.,Staff Vice President Strategic Workforce Planning,https://www.linkedin.com/in/tracicaldwell/,Staff Vice President Strategic Workforce Planning,Elevance Health,2025-06,current,initial-only surname resolved; URL slug suggests surname Caldwell
Elevance Health,Bob Sanderson,"Director, Operations Development and Planning",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com; also tried Robert Sanderson"
Elevance Health,Tracy M.,"Staff VP, Payment Integrity",https://www.linkedin.com/in/tracymuck/,"Staff VP, Payment Integrity",Elevance Health,2024-12,current,initial-only surname resolved; URL slug suggests surname Muck
Elevance Health,Amber Kanady,Staff Vice President Payment Integrity Financial Operations,,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com"
Elevance Health,Christopher Swigon,"Staff Vice President, Operations",https://www.linkedin.com/in/christopher-swigon-23118194/,"Staff Vice President, Operations",Elevance Health,2026-01,current,
Elevance Health,"Sara Voss, MPH","Staff Vice President, Operations",https://www.linkedin.com/in/saracvoss/,"Staff Vice President, Operations",Elevance Health,2024-08,current,searched as Sara Voss
Elevance Health,Susan Keeling,"Staff VP, Financial Operations",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com"
Elevance Health,Shawn Simmons,"Staff VP, Global HR Operations",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com"
Elevance Health,Beth Franke,"Staff VP, Payment Integrity Special Investigations Unit",https://www.linkedin.com/in/beth-franke-281155b9/,"Staff VP, Payment Integrity Special Investigations Unit",Elevance Health,2026-01,current,
Elevance Health,Mary Sanguinetti,"Staff Vice President, Operations",https://www.linkedin.com/in/mary-flanigan-56211b14/,"Staff Vice President, Operations",Elevance Health,2014-03,current,"URL slug is mary-flanigan (prior surname), profile name Mary Sanguinetti"
Elevance Health,Kristian Wilson,"Staff Vice President, Data Mining and Overpayment Operations, Elevance Health",https://www.linkedin.com/in/kristian-wilson-000253110/,"Staff Vice President, Data Mining and Overpayment Operations, Elevance Health",Elevance Health,2022-06,current,
Elevance Health,Jeff Hammer,"Staff VP, Finance Operations",,,,,not_found,"no match on elevancehealth.com, anthem.com, wellpoint.com; also tried Jeffrey Hammer"
Elevance Health,JoAnn Perkins,"Staff VP, LG Segment Migrations and Process Improvement",https://www.linkedin.com/in/joann-perkins-59774611/,Retired,Anthem Blue Cross and Blue Shield,2018-07,left,found via anthem.com; LinkedIn headline reads Retired; remove from bench
Elevance Health,Michael Goodall,Staff VP Global Financial Operations,https://www.linkedin.com/in/michael-goodall-62720bb7/,Staff VP Global Financial Operations,Anthem Blue Cross and Blue Shield,2020-01,current,found via anthem.com; profile still lists Anthem BCBS (pre-rebrand)
Elevance Health,"Trish Raines, PMP","Staff Vice President, Carelon Implementations",https://www.linkedin.com/in/trish-raines-pmp-b535118a/,"Staff Vice President, Carelon Implementations",Elevance Health,2019-12,current,searched as Trish Raines
Elevance Health,Elizabeth Reyes,Vice President Operations,https://www.linkedin.com/in/elizabeth-reyes-00a345107/,Vice President of Provider Digital Channels,Elevance Health,2022-12,current,"VERIFY: LinkedIn title is VP of Provider Digital Channels, not Vice President Operations; may be a different Elizabeth Reyes at Elevance"
