account,full_name,title
Telus,Matthew Chow,Chief Mental Health Officer
Telus,Olivia (Hyunsoo) L.,"Director of Operations, TELUS Health Virtual Care"
Telus,Kristen Castrovinci,Director Of Operations
Telus,"Kevin Lee BA, CAPM",Director Operations
Bell Canada,Tresor Dunia,Service Delivery Director
Bell Canada,Natasha Jabbour,Service Delivery Director
Bell Canada,Guillaume Senecal,Service Delivery Director
Bell Canada,Daniel T.,Service Delivery director
Bell Canada,"Lawrence Wong, CPA, CA","Associate Director, Contract and Revenue Assurance"
Bell Canada,Anna Petkos,Associate Director - Billing Services Management
Bell Canada,Stacey Ogilvy,Director - Credit and collections
Bell Canada,Marc Isabelle,Associate Director for Customer Operations
Bell Canada,Mary Amoroso,Associate Director Service Operations
Bell Canada,Brenda Podurgiel,Director Supply Chain-Provisioning and Special projects
BMO,Peter Intraligi,Chief Operating Officer
BMO,Monica Shin,"Chief Operating Officer, Equity Research"
BMO,Doug Parsons,"Senior Vice President, Director - Equipment Finance"
BMO,"Cristóbal Cintrón, DrPH, MSc.",Chief Analytical Officer - Startup Partner
BMO,Bo Pang,"Chief Representative, Beijing Representative Office"
BMO,Johnny Johnson,Senior Vice President/Southeast Region Manager at BMO Transportation Finance
BMO,Maurice Hudon,Senior Executive Vice President
BMO,Terje Wefring,COO/Driftssjef
BMO,Sara Joyce,"Executive Managing Director and Head, International Financial Institutions and Trade Finance"
BMO,"Thomas Baranko, JD, CTFA",Chief Trust Officer
BMO,Yukinori Nishio,Executive Vice President
BMO,Tariq Perry,Chief Financial Officer
BMO,Wafaa Abousamak,Regional Head of Operations
BMO,Amy McWilliam,Regional Director Of Operations
BMO,Iris Nazareta,"EMM Operations Manager, Director at BMO"
BMO,Kim Shllaku,Regional Head of Operations
BMO,Stephane Gervais,Regional Director Of Operations
BMO,Aileen Manasan,Regional Director Operations
BMO,Tina Watts,Head Of Operations EMEA
BMO,Meghan Kostka,Regional Head of Operations - GTA
BMO,Walter Brajuka,Director Operations Command Centre
BMO,"Sujith Siva, MBA, BA",Vice President Operations
BMO,Craig Oakes,Director of Operations
BMO,Hugh Moir,Head Of Operations
BMO,Kelsey Martens,"Regional Head of Operations, West"
BMO,Alice Wan,"Regional Director of Operations, Client Service- West Coast"
BMO,Greg Peterson,Senior Director of Operations and Special Projects
BMO,Stuart South,Associate Director Of Operations
BMO,Tracy Kirchhoff,"Vice President, Regional Operations Manager, Illinois"
BMO,Kevin Hargreaves,Director Of Operations
BMO,Joanne Turner,Regional Director Operations
BMO,Damora Paul,Assistant Director of Operations
BMO,Janis Brennan,VP Operations Manager
BMO,"Lesley Walker, CAMS","Vice President, KYC Continuous Improvement"
BMO,Afolabi Oguntade,"Director, Operational Excellence & Quality"
BMO,Andrew Probst,Vice President Business Process Improvement
BMO,Marc Andre Bergeron,Managing Director & Head - Global Transaction Banking
BMO,"Joseph Stephan, MBA",Vice-President / Global Transaction Banking
BMO,Cristina Saenz de Zaitigui,Director - Global Transaction Banking
BMO,Arthur Lacerda de Almeida,"Vice President, Global Transaction Banking"
BMO,"Jeffrey Hutka, CFA",Vice President - Global Transaction Banking
BMO,"Kennard Wong, CFA","Associate Director, Middle Office/Trade Support"
BMO,Kathleen St-cyr,"Director CLO Comercial Lending Operations,"
BMO,Colleen O'Dwyer,AVP - Consumer Lending Operations
BMO,Berto D.,"Regional Director, Lending Operations, GTA"
BMO,Sanjay Popat,"Director, Treasury & Payments Solutions"
BMO,Janet Kelly BSc PMP CAMS (She/Her),"Director, Head CM AML/KYC Change Portfolio | Client Services"
BMO,Yolanda Rodrigues,Head of Investment Operations
BMO,Justin Hopper,"Director, Onboarding and Journey Simplification"
BMO,Elizabeth Brunton,"Associate Director, Treasury and Payments Solutions"
BMO,Laura Exley,"Director, Client Onboarding"
BMO,Scott Murayama,"Senior Director, Treasury and Payments, BC Region"
BMO,Shalini Pais,Associate Director -TREASURY & PAYMENTS SERVICES
BMO,Jennifer Spitz,Assistant Vice President - Deposit & Payment Operations Project Delivery
BMO,Katie Hanley,"Director, Estate Settlement Services"
Telus,"Krista Schmidt, PMP","Director, Operations - FOCUS & SkyHawk by TELUS"
Telus,Germilee Jean,Director of Operations - Payvider
Telus,Kishma Pacquette,Director of Operations
Telus,Don Blacklock,Director Of Operations
Telus,David Springer,Associate Director of Operations
Telus,Bob Yoon,"Director of Operations, TELUS Partner Solutions"
Telus,Angela Maddox,Director Of Operations
Telus,Andrew Stanley,Director of Operations
Telus,TJ Ehmann,Director Of Operations
Telus,Kayla Shum,Director of Operations
Telus,"Nathalie Leclerc, CTACC",Director of Operations and Client Success
Telus,Tyson Joyce,Director- Quality and Continuous Improvement
Canada Life,Deirdre L.,Head of Operations
Canada Life,Mark Armstrong,Head of Operations
Canada Life,Christine Peloghitis,"Head of Operations, CLRe Barbados"
Canada Life,Christine Milsom,Head of Operational Excellence
Canada Life,cormac o'carroll,Head of Back Office Delivery
Canada Life,Ryan Wirth,"Director, Shared Services Operations"
