tier,new_faller,contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,gross_forgone_qbp_musd,addressable_forgone_qbp_musd,addressable_pct,confidence,primary_sources,addr_2028_musd,addr_2029plus_musd,pct_2028,pct_2029plus,wavg_2026
B,,H3192,CVS Health Corporation,Aetna Medicare,27799,3,3.2,3.2,28.6,13.5,0.47,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,14.8,12.5,0.52,0.44,3.11
B,,H8894,INLAND EMPIRE HEALTH PLAN,IEHP DualChoice,38439,3,3.1,2.5,39.5,14.8,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,14.6,19.7,0.37,0.50,3.00
B,,H3533,Humana Inc.,Humana,28961,3,3.1,2.8,29.8,12.2,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,14.6,18.3,0.49,0.61,3.15
B,Y,H0755,"UnitedHealth Group, Inc.",UnitedHealthcare,93668,3.5,3.8,3.2,45.7,9.1,0.20,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,13.8,27.6,0.30,0.60,3.41
B,,H0672,Health Care Service Corporation,Cigna HealthCare,25514,3,2.9,2.7,26.2,12.1,0.46,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,13.4,14.2,0.51,0.54,2.85
B,,H3528,"Molina Healthcare, Inc.",ConnectiCare,47730,3.5,3.7,3.6,23.3,10.6,0.45,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,12.6,17.5,0.54,0.75,3.62
B,,H3038,"Molina Healthcare, Inc.",Molina Healthcare of California,29863,3,3.5,2.9,30.7,9.2,0.30,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,12.2,16.8,0.40,0.55,3.17
B,,H3561,Centene Corporation,Wellcare By Health Net,46980,3.5,3.2,3.0,22.9,10.1,0.44,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,12.1,14.5,0.53,0.63,3.31
B,,H3288,CVS Health Corporation,Aetna Medicare,67539,3.5,3.7,3.1,32.9,9.0,0.27,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,11.5,16.2,0.35,0.49,3.54
B,Y,H3335,"Lifetime Healthcare, Inc.","Excellus Health Plan, Inc",86142,3.5,3.7,3.5,42.0,15.1,0.36,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,11.3,21.6,0.27,0.52,3.60
B,,H8634,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM, OK, TX",27555,3,3.2,2.7,28.3,10.9,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,11.3,14.5,0.40,0.51,2.92
B,,H7849,Health Care Service Corporation,Cigna HealthCare,29238,3,3.3,2.5,30.0,9.7,0.32,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,11.2,13.4,0.37,0.45,2.93
B,,H5439,Centene Corporation,Wellcare By Health Net,19665,3,3.0,2.9,20.2,9.4,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,11.0,14.6,0.54,0.72,2.93
B,,H2509,"UnitedHealth Group, Inc.",UnitedHealthcare,72626,3.5,3.8,3.1,35.4,6.7,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,10.9,5.6,0.31,0.16,3.40
B,,H8432,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield HP,43986,3.5,3.3,3.0,21.4,9.1,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,10.7,13.3,0.50,0.62,3.29
B,,H3251,Health Care Service Corporation,Blue Cross and Blue Shield of New Mexico,20586,2.5,3.0,2.8,21.2,9.6,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,10.2,14.4,0.48,0.68,2.71
B,Y,H5322,"UnitedHealth Group, Inc.",UnitedHealthcare,217118,3.5,4.0,3.0,105.8,0.0,0.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,10.2,0.0,0.10,0.00,3.56
B,Y,H3822,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM",21506,3,3.5,3.4,22.1,10.0,0.45,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,9.8,13.4,0.44,0.61,3.31
B,,H5433,Orange County Health Authority,CalOptima Health OneCare,18849,3,2.7,2.7,19.4,9.6,0.50,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.8,12.3,0.50,0.64,2.79
B,,H8849,"Elevance Health, Inc.",Wellpoint,55070,3.5,3.7,3.1,26.8,6.3,0.23,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.6,14.3,0.36,0.53,3.59
B,,H5475,Centene Corporation,Wellcare,20141,3,3.0,2.5,20.7,8.1,0.39,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.5,11.6,0.46,0.56,2.88
B,,H8908,Humana Inc.,Humana,22259,3,3.3,2.7,22.9,7.8,0.34,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.5,11.1,0.42,0.48,2.95
B,,H3113,"UnitedHealth Group, Inc.",UnitedHealthcare,80289,3.5,3.8,3.0,39.1,5.2,0.13,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.1,5.3,0.23,0.14,3.53
B,,H0523,CVS Health Corporation,Aetna Medicare,11384,3,2.8,3.6,11.7,8.6,0.74,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,9.0,9.8,0.77,0.84,3.12
B,,H4937,California Physicians' Service,Blue Shield of California,45627,3.5,3.6,3.2,22.2,7.5,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,8.9,14.0,0.40,0.63,3.45
B,,H5434,Guidewell Mutual Holding Corporation,Florida Blue,62044,3.5,3.8,3.1,30.2,5.8,0.19,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,8.3,13.5,0.27,0.45,3.51
B,Y,H6200,Lumeris Group Holdings Corporation,Essence Healthcare,10976,3,3.1,3.7,11.3,8.1,0.72,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,8.2,9.3,0.72,0.82,3.27
B,,H2923,"Devoted Health, Inc.",Devoted Health,16437,3.5,2.7,4.2,8.0,8.0,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,8.0,8.0,1.00,1.00,3.57
B,,H5628,"Molina Healthcare, Inc.",Molina Healthcare of Utah & Idaho,16985,3,3.2,2.7,17.5,6.7,0.38,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.9,9.5,0.45,0.54,3.00
B,,H0351,Centene Corporation,Wellcare By Allwell,23988,3.5,3.3,3.4,11.7,6.4,0.55,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.5,8.3,0.64,0.71,3.39
B,,H4982,CVS Health Corporation,Aetna Medicare,9688,3,2.3,3.3,10.0,7.1,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.4,8.1,0.74,0.81,2.79
B,,H6815,Centene Corporation,Wellcare By Health Net,12601,3,2.8,2.8,12.9,6.6,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.4,8.6,0.57,0.66,2.91
B,,H5779,Centene Corporation,Wellcare,13171,3,3.1,2.9,13.5,6.3,0.47,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.3,8.2,0.54,0.61,3.00
B,,H8578,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,9841,3,3.0,3.6,10.1,7.2,0.71,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.2,8.7,0.71,0.86,3.21
B,,H5828,"Elevance Health, Inc.",Wellpoint,27710,3,3.6,2.2,28.5,5.2,0.18,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,7.1,6.3,0.25,0.22,2.96
B,,H0562,Centene Corporation,Wellcare By Health Net,24647,3.5,3.5,3.4,12.0,5.8,0.48,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.9,9.0,0.58,0.75,3.51
B,,H7379,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,46358,3.5,3.9,3.6,22.6,5.9,0.26,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.8,0.0,0.30,0.00,3.69
B,,H3832,Hawaii Medical Service Association,HMSA Akamai Advantage,37817,3.5,3.6,3.1,18.4,5.5,0.30,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.8,11.4,0.37,0.62,3.40
B,,H5823,"Molina Healthcare, Inc.","Molina Healthcare of Washington, Inc.",13256,3,3.1,2.7,13.6,5.6,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.6,8.7,0.49,0.64,3.00
B,,H5590,Centene Corporation,Wellcare By Allwell,26455,3.5,3.3,3.0,12.9,5.5,0.43,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.6,8.3,0.52,0.64,3.26
B,,H6586,"Devoted Health, Inc.",Devoted Health,7256,3,2.5,3.7,7.5,6.3,0.84,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.5,6.8,0.86,0.90,3.02
B,,H5926,"Molina Healthcare, Inc.",Molina Healthcare of Michigan,15595,3,3.4,2.7,16.0,5.3,0.33,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,6.4,8.1,0.40,0.50,3.16
B,,H9955,"Molina Healthcare, Inc.",Molina Healthcare of Ohio,14295,3,3.4,2.8,14.7,4.5,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.9,8.5,0.40,0.58,3.13
B,,H1666,Health Care Service Corporation,"Blue Cross and Blue Shield of NM, TX",15914,3,3.4,2.8,16.4,5.6,0.34,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.8,8.6,0.35,0.53,3.05
B,,H0908,Centene Corporation,Wellcare By Allwell,9227,3,2.7,2.9,9.5,5.2,0.54,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.7,5.9,0.60,0.62,2.93
B,Y,H0982,"Athena Healthcare Holdings, LLC",Solis Health Plans,21953,3.5,3.5,3.6,10.7,6.4,0.60,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,5.6,0.0,0.52,0.00,3.42
B,Y,H8173,"Devoted Health, Inc.",Devoted Health,11405,3.5,2.8,4.3,5.6,5.6,1.00,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026; NEW-FALLER,5.6,5.6,1.00,1.00,3.31
B,,H6743,ATRIO Health Plans,ATRIO Health Plans,21188,2.5,3.3,1.9,21.8,5.2,0.24,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.4,9.1,0.25,0.42,2.51
B,,H2108,Health Care Service Corporation,Cigna HealthCare,12780,3,3.3,2.8,13.1,4.7,0.36,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.3,6.7,0.41,0.51,3.01
B,,H5826,Community Health Plan of Washington,Community Health Plan of WA Medicare Advantage,8975,3,3.0,3.1,9.2,4.9,0.53,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.2,6.4,0.57,0.69,3.05
B,,H0423,New York City Health and Hospitals Corporation,MetroPlus Health Plan,13517,3.5,3.2,3.8,6.6,5.4,0.81,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.1,4.7,0.78,0.71,3.62
B,,R6801,"UnitedHealth Group, Inc.",UnitedHealthcare,39248,3.5,3.7,2.6,19.1,3.6,0.19,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,5.1,5.0,0.27,0.26,3.20
B,,H5009,"Cambia Health Solutions, Inc.",Regence BlueShield,10501,3,3.4,3.0,10.8,4.0,0.37,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.9,7.5,0.45,0.69,3.26
B,,H8330,"Point32Health, Inc.",Tufts Health Plan,15506,3.5,3.2,3.5,7.6,4.6,0.61,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.8,6.0,0.63,0.79,3.42
B,,H7006,ATRIO Health Plans,ATRIO Health Plans,10542,2,2.7,2.2,10.8,4.5,0.41,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.7,5.7,0.44,0.53,2.32
B,,H9485,Mass General Brigham Incorporated,Mass General Brigham Health Plan,17823,3.5,3.7,3.7,8.7,4.5,0.51,high,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.7,6.0,0.54,0.69,3.54
B,,H2458,Medica Holding Company,Medica,13830,3,3.5,3.0,14.2,4.4,0.31,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.7,7.8,0.33,0.55,3.22
B,,H9364,Centene Corporation,Wellcare,14975,3.5,3.2,3.4,7.3,4.1,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.7,5.6,0.65,0.76,3.39
B,,H1610,CVS Health Corporation,Aetna Better Health of Virginia,11494,3,3.2,2.4,11.8,4.1,0.34,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.6,4.1,0.39,0.35,2.88
C,,H9065,"Elevance Health, Inc.",AMH Health,15038,3.5,3.1,3.3,7.3,4.1,0.56,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.6,5.5,0.63,0.76,3.28
C,,H4711,CVS Health Corporation,Aetna Medicare,8461,3,3.2,3.0,8.7,3.9,0.45,medium,CMS-2026-SR(Oct8-2025)+MeasureStars; CMS-Enr-Jun2026; KFF-QBP; MedPAC-2026,4.5,4.5,0.51,0.51,3.03
