rank,account,source_list,reseller_of_record,bucket,size_band,verint_seats,dpa_seats,dpa_whitespace_seats,model,back_office_product,vertical_alignment_as_given,wfm_in_footprint,flags,score
17,Nationwide Mutual Insurance Co.,partner_only_2024,"Amazon Web Services, Inc.",dpa_deployed,5000-9999,6400,6400,0,SaaS,,1,no,"Verint reseller of record: Amazon Web Services, Inc. (also an Intradiem partner)",105.0
18,Bank of Montreal (BMO),partner_only_2024,Connex Telecommunications Inc.,dpa_deployed,5000-9999,5394,118,5276,OnPrem Subscription,,1,no,Verint reseller of record: Connex Telecommunications Inc. (also an Intradiem partner),104.9
19,Xcel Energy,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1724,1724,0,SaaS,,2,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),103.9
20,Sun Life Assurance Company of Canada,partner_only_2024,Connex Telecommunications Inc.,dpa_deployed,2000-4999,3761,85,3676,OnPrem Subscription,,1,no,Verint reseller of record: Connex Telecommunications Inc. (also an Intradiem partner),103.6
21,"Horizon Healthcare Services, Inc. d/b/a Horizon BCBS of New Jersey",partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,3240,1230,2010,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),103.1
22,HCA National Patient Account SVC KY,partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,3228,3180,48,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),103.1
23,TSYS,partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,2838,2838,0,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),102.6
24,"Cognizant Healthcare Services, LLC",partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1920,1920,0,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),101.3
25,"DTE Energy Inc. dba DTE Energy Corporate Services, LLC",partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1668,1020,648,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),100.8
26,"VW Credit, Inc.",direct_backoffice_block,TTEC,backoffice_deployment,500-1999,350,825,,Perpetual,Verint eg Work Manager,,no,"back-office deployment; sold TTEC, not partner-registered; also on the partner sheet",100.4
27,Penn State Health,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1320,60,1260,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),100.0
28,Allstate Insurance Co. of Canada Ltd.,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,827,827,0,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),98.3
29,"VW Credit, Inc.",partner_only_2024,"Cisco Systems, Inc.",dpa_deployed,500-1999,825,825,0,Perpetual,,1,no,"Verint reseller of record: Cisco Systems, Inc.",98.3
30,Northwell Health (fka North Shore LI Jewish Hospital),partner_only_2024,Avaya LLC,dpa_deployed,500-1999,800,800,0,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),98.2
31,Wawanesa Insurance,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,731,731,0,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),97.9
32,Nordstrom Bank,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,651,495,156,SaaS,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),97.5
33,Entergy Services Inc,partner_only_2024,"Presidio Networked Solutions, LLC",dpa_deployed,2000-4999,2200,1100,1100,OnPrem Subscription,,2,no,"Verint reseller of record: Presidio Networked Solutions, LLC",94.7
34,Southern Company,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1863,690,1173,OnPrem Subscription,,2,no,"CHECK near-name: SF Customer (Clay segment 2026-09-01), 'Southern California Edison Company', confirm not related before outreach; Verint reseller of record: Avaya LLC (also an Intradiem partner)",94.2
35,Yale New Haven Hospital,partner_only_2024,"BEI Holdings, Inc. (DBA: Business Electronics)",dpa_deployed,500-1999,899,525,374,Perpetual,,3,yes,"Verint reseller of record: BEI Holdings, Inc. (DBA: Business Electronics)",93.6
36,CGI,partner_only_2024,Bell Canada,dpa_deployed,500-1999,750,379,371,Perpetual,,3,yes,Verint reseller of record: Bell Canada,93.0
37,TransUnion LLC,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,940,940,0,OnPrem Subscription,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),91.8
38,Avista Corporation,partner_only_2024,Cerium Networks,dpa_deployed,500-1999,501,183,318,OnPrem Subscription,,,yes,Verint reseller of record: Cerium Networks,91.6
39,State of Washington - Department of Social and Health Services (DSHS),partner_only_2024,Avaya LLC,dpa_deployed,2000-4999,2100,2100,0,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),86.6
40,VA Medical Cntr Chief Supply Svc,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,1014,1014,0,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),84.0
41,USDA,partner_only_2024,"Alliance Technology Group, LLC",dpa_deployed,500-1999,873,143,730,Perpetual,,3,no,"Verint reseller of record: Alliance Technology Group, LLC",83.5
42,Corewell Health,partner_only_2024,CBTS Technology Solutions LLC,verint_no_dpa,2000-4999,2960,0,2960,SaaS,,1,yes,Verint reseller of record: CBTS Technology Solutions LLC,82.8
43,Charlton Memorial Hospital,partner_only_2024,Avaya LLC,dpa_deployed,500-1999,600,300,300,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),82.2
44,GE Healthcare (APCS CC Global Hub),partner_only_2024,Avaya LLC,verint_no_dpa,2000-4999,2179,0,2179,Perpetual,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),81.7
45,Regions Bank,partner_only_2024,"Amazon Web Services, Inc.",verint_no_dpa,2000-4999,2143,0,2143,SaaS,,1,yes,"Verint reseller of record: Amazon Web Services, Inc. (also an Intradiem partner)",81.6
46,United States Pharmaceutical Group LLC dba Convey Health Solutions LLC,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,1078,0,1078,OnPrem Subscription,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),79.3
47,Propharma Group LLC,partner_only_2024,Servion Global Solutions Inc,verint_no_dpa,500-1999,950,0,950,SaaS,,1,yes,Verint reseller of record: Servion Global Solutions Inc (also an Intradiem partner),78.8
48,Boeing Employees Credit Union,partner_only_2024,Cerium Networks,verint_no_dpa,500-1999,745,0,745,SaaS,,1,yes,Verint reseller of record: Cerium Networks,78.0
49,Mount Sinai Medical Center,partner_only_2024,Servion Global Solutions Inc,verint_no_dpa,500-1999,730,0,730,OnPrem Subscription,,1,yes,Verint reseller of record: Servion Global Solutions Inc (also an Intradiem partner),77.9
50,University of Washington Medicine,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,580,0,580,SaaS,,1,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),77.1
51,"T-Mobile USA, Inc.",partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,2000-4999,3117,0,3117,Perpetual,,2,yes,"Verint reseller of record: Cisco Systems, Inc.",75.9
52,The National Bank of Canada,partner_only_2024,Group Elite Communications Inc.,verint_no_dpa,5000-9999,7620,0,7620,OnPrem Subscription,,1,no,Verint reseller of record: Group Elite Communications Inc. (also an Intradiem partner),75.0
53,"Terminix Consumer Services, LLC",partner_only_2024,ServiceMaster Consumer Services Limited Partnership,verint_no_dpa,500-1999,1500,0,1500,SaaS,,2,yes,Verint reseller of record: ServiceMaster Consumer Services Limited Partnership,73.4
54,"MSC Industrial Direct CO., Inc.",partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,801,0,801,SaaS,,2,yes,Verint reseller of record: Avaya LLC (also an Intradiem partner),71.2
55,US Navysparwarsyscen,partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,500-1999,695,0,695,Perpetual,,2,yes,"Verint reseller of record: Cisco Systems, Inc.",70.7
56,Trinity Health,partner_only_2024,Group Elite Communications Inc.,verint_no_dpa,500-1999,1500,0,1500,OnPrem Subscription,,1,no,Verint reseller of record: Group Elite Communications Inc. (also an Intradiem partner),70.4
57,Map Communications,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,1080,0,1080,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),69.3
58,Reliance Insurance,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,1008,0,1008,OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),69.0
59,"Industrielle Alliance, Assurances et Services Financier Inc.",partner_only_2024,Bell Canada,verint_no_dpa,500-1999,965,0,965,Perpetual,,1,no,Verint reseller of record: Bell Canada,68.9
60,Cognizant Technical Solutions,partner_only_2024,SimComm Pte Ltd,verint_no_dpa,5000-9999,5175,0,5175,Perpetual,,2,no,Verint reseller of record: SimComm Pte Ltd,67.7
61,"Hinge Health, Inc.",partner_only_2024,Servion Global Solutions Inc,verint_no_dpa,500-1999,610,0,610,SaaS,,1,no,Verint reseller of record: Servion Global Solutions Inc (also an Intradiem partner),67.3
62,"Alere Health, Inc",partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,600,0,600,Perpetual,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),67.2
63,North Middlesex Savings Bank Inc.,partner_only_2024,Carousel Industries of North America,verint_no_dpa,500-1999,600,0,600,Perp/OnPrem Subscription,,1,no,Verint reseller of record: Carousel Industries of North America (also an Intradiem partner),67.2
64,Idaho Department of Health and Welfare,partner_only_2024,SHI International Corp,verint_no_dpa,500-1999,564,0,564,Perp/OnPrem Subscription,,1,no,Verint reseller of record: SHI International Corp,67.0
65,B2B Bank,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,513,0,513,Perpetual,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),66.7
66,Sentara,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,506,0,506,Perp/OnPrem Subscription,,1,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),66.6
67,The Results Company,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,2000,0,2000,SaaS,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),64.4
68,HD Supply,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,1722,0,1722,OnPrem Subscription,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),63.9
69,Bureau of Fiscal Service fka Bureau of Public Debt,partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,500-1999,780,0,780,Perpetual,,3,yes,"Verint reseller of record: Cisco Systems, Inc.",63.1
70,Banner Health dba North Colorado Medical Center,partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,500-1999,558,0,558,Perpetual,,3,yes,"Verint reseller of record: Cisco Systems, Inc.",62.0
71,Medical University Hospital Authority,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,720,0,720,OnPrem Subscription,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),60.9
72,Beth Israel Deaconess Medical Center,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,661,0,661,OnPrem Subscription,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),60.6
73,Parkview Corporate Health,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,650,0,650,OnPrem Subscription,,2,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),60.5
74,Norton Lifelock Capex,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,1020,0,1020,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),54.1
75,The University of Texas M.D. Anderson Cancer Center,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,760,0,760,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),53.0
76,TB Consulting LLC,partner_only_2024,Avaya LLC,verint_no_dpa,500-1999,670,0,670,OnPrem Subscription,,3,no,Verint reseller of record: Avaya LLC (also an Intradiem partner),52.6
,Progressive Casualty Insurance Company,partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,Over 10000,20700,0,20700,SaaS,,1,yes,"HOLD: SF Customer (Clay segment 2026-09-01), brand match on 'Progressive Leasing', AM confirms it is the same company; Verint reseller of record: Cisco Systems, Inc.",-1
,Citibank N.A,direct_backoffice_block,Direct,backoffice_deployment,,10000,,,,eg work manager,,not on matrix sheet,"HOLD: SF Customer (Jul 10 export), brand match on 'Citicorp Credit Services', AM confirms it is the same company; back-office deployment; sold Direct, not partner-registered",-1
,"Farmers Group, Inc.",partner_only_2024,BT Americas Inc.,dpa_deployed,5000-9999,9554,1,9553,SaaS,,1,yes,"HOLD: SF Customer (Jul 10 export), brand match on 'Farmers Insurance', AM confirms it is the same company; Verint reseller of record: BT Americas Inc.",-1
,"Five9, Inc",direct_backoffice_block,Direct,backoffice_deployment,,6000,,,,Verint eg Work Manager,,not on matrix sheet,"HOLD: SF Partner (Clay segment 2026-09-01), 'Five9'; back-office deployment; sold Direct, not partner-registered",-1
,Cigna Corporation,direct_backoffice_block,Direct,operational_visualizer,,5100,,,,Verint Operations Manager - SaaS,,not on matrix sheet,"HOLD: SF Customer (Jul 10 export), 'CIGNA'; Frank priority; sold Direct, not partner-registered",-1
,The Cleveland Clinic Foundation,partner_only_2024,"Cisco Systems, Inc.",verint_no_dpa,2000-4999,3577,0,3577,OnPrem Subscription,,1,yes,"HOLD: SF Customer (Clay segment 2026-09-01), brand match on 'Cleveland Clinic', AM confirms it is the same company; Verint reseller of record: Cisco Systems, Inc.",-1
,"PNC Bank, National Association",direct_backoffice_block,Direct,operational_visualizer,150-499,970,0,,Perpetual,Verint Process Operations Visualizer - Term,,no,"HOLD: SF Customer (Clay segment 2026-09-01), brand match on 'PNC Financial', AM confirms it is the same company; Frank priority; sold Direct, not partner-registered",-1
