contract_id,parent_org,marketing_name,members,overall_star_2026,cs_star,clin_star,addressable_forgone_qbp_musd,addr_2028_musd,addr_2029plus_musd,tier,new_faller,structural_exclude,decision_maker_found,confidence
H5628,"Molina Healthcare, Inc.",Molina Healthcare of Utah & Idaho,16985,3,3.2,2.7,6.7,7.9,9.5,B,FALSE,FALSE,FALSE,medium
H0351,Centene Corporation,Wellcare By Allwell,23988,3.5,3.3,3.4,6.4,7.5,8.3,B,FALSE,FALSE,FALSE,medium
H4982,CVS Health Corporation,Aetna Medicare,9688,3,2.3,3.3,7.1,7.4,8.1,B,FALSE,FALSE,FALSE,high
H6815,Centene Corporation,Wellcare By Health Net,12601,3,2.8,2.8,6.6,7.4,8.6,B,FALSE,FALSE,FALSE,high
H5779,Centene Corporation,Wellcare,13171,3,3.1,2.9,6.3,7.3,8.2,B,FALSE,FALSE,FALSE,high
H8578,"Baystate Health, Inc.",Health New England Medicare Advantage Plans,9841,3,3.0,3.6,7.2,7.2,8.7,B,FALSE,FALSE,FALSE,high
H5828,"Elevance Health, Inc.",Wellpoint,27710,3,3.6,2.2,5.2,7.1,6.3,B,FALSE,FALSE,FALSE,medium
H0562,Centene Corporation,Wellcare By Health Net,24647,3.5,3.5,3.4,5.8,6.9,9.0,B,FALSE,FALSE,FALSE,medium
H7379,"CareFirst, Inc.",CareFirst BlueCross BlueShield Medicare Advantage,46358,3.5,3.9,3.6,5.9,6.8,0.0,B,FALSE,FALSE,FALSE,high
H3832,Hawaii Medical Service Association,HMSA Akamai Advantage,37817,3.5,3.6,3.1,5.5,6.8,11.4,B,FALSE,FALSE,FALSE,high
H5823,"Molina Healthcare, Inc.","Molina Healthcare of Washington, Inc.",13256,3,3.1,2.7,5.6,6.6,8.7,B,FALSE,FALSE,FALSE,medium
H5590,Centene Corporation,Wellcare By Allwell,26455,3.5,3.3,3.0,5.5,6.6,8.3,B,FALSE,FALSE,FALSE,medium
H6586,"Devoted Health, Inc.",Devoted Health,7256,3,2.5,3.7,6.3,6.5,6.8,B,FALSE,FALSE,FALSE,high
H5926,"Molina Healthcare, Inc.",Molina Healthcare of Michigan,15595,3,3.4,2.7,5.3,6.4,8.1,B,FALSE,FALSE,FALSE,medium
H9955,"Molina Healthcare, Inc.",Molina Healthcare of Ohio,14295,3,3.4,2.8,4.5,5.9,8.5,B,FALSE,FALSE,FALSE,medium
H1666,Health Care Service Corporation,"Blue Cross and Blue Shield of NM, TX",15914,3,3.4,2.8,5.6,5.8,8.6,B,FALSE,FALSE,FALSE,high
H0908,Centene Corporation,Wellcare By Allwell,9227,3,2.7,2.9,5.2,5.7,5.9,B,FALSE,FALSE,FALSE,medium
H0982,"Athena Healthcare Holdings, LLC",Solis Health Plans,21953,3.5,3.5,3.6,6.4,5.6,0.0,B,TRUE,FALSE,FALSE,medium
H8173,"Devoted Health, Inc.",Devoted Health,11405,3.5,2.8,4.3,5.6,5.6,5.6,B,TRUE,FALSE,FALSE,medium
H6743,ATRIO Health Plans,ATRIO Health Plans,21188,2.5,3.3,1.9,5.2,5.4,9.1,B,FALSE,FALSE,FALSE,high
H2108,Health Care Service Corporation,Cigna HealthCare,12780,3,3.3,2.8,4.7,5.3,6.7,B,FALSE,FALSE,FALSE,medium
H5826,Community Health Plan of Washington,Community Health Plan of WA Medicare Advantage,8975,3,3.0,3.1,4.9,5.2,6.4,B,FALSE,FALSE,FALSE,medium
H0423,New York City Health and Hospitals Corporation,MetroPlus Health Plan,13517,3.5,3.2,3.8,5.4,5.1,4.7,B,FALSE,FALSE,FALSE,medium
R6801,"UnitedHealth Group, Inc.",UnitedHealthcare,39248,3.5,3.7,2.6,3.6,5.1,5.0,B,FALSE,FALSE,FALSE,medium
H5009,"Cambia Health Solutions, Inc.",Regence BlueShield,10501,3,3.4,3.0,4.0,4.9,7.5,B,FALSE,FALSE,FALSE,high
H8330,"Point32Health, Inc.",Tufts Health Plan,15506,3.5,3.2,3.5,4.6,4.8,6.0,B,FALSE,FALSE,FALSE,medium
H7006,ATRIO Health Plans,ATRIO Health Plans,10542,2,2.7,2.2,4.5,4.7,5.7,B,FALSE,FALSE,FALSE,medium
H9485,Mass General Brigham Incorporated,Mass General Brigham Health Plan,17823,3.5,3.7,3.7,4.5,4.7,6.0,B,FALSE,FALSE,FALSE,high
H2458,Medica Holding Company,Medica,13830,3,3.5,3.0,4.4,4.7,7.8,B,FALSE,FALSE,FALSE,medium
H9364,Centene Corporation,Wellcare,14975,3.5,3.2,3.4,4.1,4.7,5.6,B,FALSE,FALSE,FALSE,medium
H1610,CVS Health Corporation,Aetna Better Health of Virginia,11494,3,3.2,2.4,4.1,4.6,4.1,B,FALSE,FALSE,FALSE,medium
