record_id,company,domain,industry,employees,account_type,cc_latest,wfm_latest,cc_all,rep_confirmed
1024661393,Egencia,egain.com,Business Services,700,Prospect,Five9,,"Amazon Connect (2024-10-27), Avaya (2024-10-27), Avaya Call Management System (2020-11-03), Five9 (2026-08-13), NICE CXone (2026-07-28), NICE inContact (2024-07-25), TalkDesk (2024-07-25)",
1024661407,Humana,humana.com,Healthcare Insurance,50100,Customer,Genesys,Aspect,"Alvaria (2024-09-04), Avaya Call Management System (2024-05-28), Genesys Cloud CX (2026-09-01), Verint Workforce Management (2024-07-24)",
1024661413,Prudential Financial,prudential.com,Fin Services,49384,Customer,Genesys,,"Amazon Connect (2025-12-03), Avaya (2025-06-13), Five9 (2025-12-03), Genesys (2025-12-03), Genesys Cloud (2026-07-06), NICE CXone (2025-12-03)",
1024661423,Moxie Pest Control,moxieservices.com,Consumer Services,527,Prospect,,NICE,Nice Workforce Management (2026-09-04),
1024661432,Blue Cross Blue Shield Massachusetts (BCBS MA),bluecrossma.org,Home & Auto Insurance,4000,Prospect,,Verint,Verint Workforce Management (2026-08-06),
1024661433,Optum360,optum.com,Healthcare Insurance,100000,Prospect,NICE,Calabrio,"Calabrio (2026-07-26), NICE CXone (2026-08-23)",
1024661441,St. Jude Children's Research Hospital,stjude.org,Healthcare Provider,5500,Prospect,NICE,,NICE inContact (2023-11-29),
1024661457,loanDepot.com LLC,loandepot.com,Div Financial Services,4532,Prospect,Genesys,Verint,"Avaya (2022-01-20), Genesys (2026-08-13), Genesys Cloud (2026-08-13), Verint Workforce Management (2025-10-21)",
1024661474,Amerilife Group LLC,amerilife.com,Home & Auto Insurance,2250,Prospect,NICE,,"Avaya (2022-12-10), Avaya Call Management System (2022-12-10), NICE inContact (2022-12-26)",
1024661475,Aveanna Healthcare,aveanna.com,Healthcare Provider,33700,Prospect,NICE,,"Avaya (2023-12-08), NICE CXone (2026-04-14), RingCentral (2026-04-14)",
1024661482,Extra Space Storage,extraspace.com,Consumer Services,4781,Prospect,Five9,Aspect,"Alvaria (2025-01-21), Five9 (2026-02-05), NICE inContact (2025-06-17)",
1024661486,CMI Group,thecmigroup.com,Outsourcer,200,Prospect,NICE,,NICE CXone (2021-11-04),
1024661490,MGM Resorts International,mgmresorts.com,Hospitality,57000,Prospect,Avaya,Verint,"Avaya (2025-08-08), Verint Workforce Management (2023-11-06)",
1024661492,Gallagher,ajg.com,Home & Auto Insurance,45641,Prospect,Genesys,Calabrio,"Avaya (2025-10-03), Calabrio (2024-11-19), Five9 (2024-10-09), Genesys (2026-03-04), Genesys Cloud (2026-01-29), Verint (2023-03-02)",
1024661515,Corpay (formerly FLEETCOR),fleetcor.com,Software,9900,Prospect,NICE,Verint,"Avaya Call Management System (2023-01-17), NICE CXone (2024-11-14), NICE inContact (2025-01-22), RingCentral (2022-11-22), Verint Workforce Management (2020-09-16)",
1024661516,Ford Motor Company (Ford Pro),ford.com,Manufacturing,173000,Prospect,NICE,,NICE CXone (2026-07-21),
1024661529,IBM Corporation,ibm.com/uk,Technology,366000,Prospect,NICE,Calabrio,"Calabrio (2026-08-27), NICE CXone (2026-03-29), NICE inContact (2025-10-05), RingCentral (2025-11-10)",
1024661530,Ford Motor Credit,ford.com,Banking,173000,Prospect,NICE,,NICE CXone (2026-07-21),
1024661537,GEICO,geico.com,Home & Auto Insurance,43000,Prospect,,NICE,Nice Workforce Management (2026-07-14),
1024661539,Charter Communications,charter.com,Telco/Cable,101700,Customer,Talkdesk,,"Avaya (2020-06-02), NICE CXone (2022-05-02), TalkDesk (2022-11-17)",
1024661542,Ferrellgas Partners,ferrellgas.com,Utilities,3919,Prospect,NICE,,NICE inContact (2022-10-26),
1024661543,Vivint Solar,vivintsolar.com,Utilities,2542,Prospect,NICE,,NICE CXone (2021-07-15),
1024661568,TSYS (UK),tsys.com,Div Financial Services,24000,Prospect,Talkdesk,,"Avaya (2025-08-24), Avaya Call Management System (2025-08-24), NICE inContact (2026-04-19), TalkDesk (2026-04-19)",
1024661574,Hewlett Packard Enterprise,www8.hp.com/us/en/business-services/index.html,Outsourcer,240000,Prospect,Avaya,,"Avaya (2025-04-12), NICE inContact (2024-10-25), RingCentral (2024-02-22)",
1024661585,IBM TFL,ibm.com,Outsourcer,200,Prospect,NICE,Calabrio,"Calabrio (2026-08-27), NICE CXone (2026-03-29), NICE inContact (2025-10-05), RingCentral (2025-11-10)",
1024661586,Horace Mann Educators Corporation,horacemann.com,Div Financial Services,1700,Prospect,NICE,,NICE CXone (2020-02-25),
1024661614,WOW! (WideOpenWest),wowway.com,Telco/Cable,1500,Prospect,Avaya,,"Avaya (2022-02-16), NICE CXone (2019-11-05)",
1024661626,ResMed,resmed.com,Manufacturing,10140,Prospect,NICE,Verint,"Five9 (2026-04-29), NICE inContact (2026-09-03), TalkDesk (2023-04-17), Verint Workforce Management (2026-04-29)",
1024661628,The Trane Company,trane.com,Manufacturing,39000,Prospect,NICE,,NICE CXone (2020-03-04),
1024661629,Government Employees Health Association Inc,geha.com,Health Insurance,1600,Prospect,NICE,,"Avaya (2024-11-18), Five9 (2024-08-13), NICE CXone (2025-08-01)",
1024661657,BECU,becu.org,Div Financial Services,2595,Prospect,NICE,,"Avaya (2026-03-26), NICE CXone (2026-07-01)",
1024661700,Farmers Group,farmers.com,Insurance,25935,Prospect,Genesys,,"Amazon Connect (2025-08-27), Avaya (2021-12-13), Five9 (2025-08-27), Genesys Cloud (2025-08-27), NICE CXone (2025-08-27)",
1024661729,"1-800-FLOWERS.COM, Inc.",1800flowers.com,Retail,4200,Prospect,Five9,,"Five9 (2026-04-19), NICE CXone (2020-09-17)",
1024661731,Amtrak,amtrak.com,Transportation,19000,Prospect,Avaya,Verint,"Avaya (2025-08-21), Avaya Call Management System (2024-10-30), Verint (2025-08-21)",
1024661742,Support.com,support.com,Other,877,Prospect,NICE,,NICE CXone (2020-12-10),
1024661760,Progressive Insurance,progressive.com,Home & Auto Insurance,55100,Prospect,Five9,Verint,"Avaya (2022-05-02), Five9 (2026-05-20), Verint (2025-12-20)",
1024661763,"Arise Virtual Solutions, Inc.",arise.com,Outsourcer,4452,Prospect,Avaya,,"Amazon Connect (2020-08-29), Avaya (2026-07-10), Avaya Call Management System (2026-07-10), Five9 (2023-05-24), Genesys Cloud (2025-07-29), NICE CXone (2020-12-08)",
1024661770,First National Bank of Omaha,fnbo.com,Banking,5000,Prospect,NICE,Aspect,"Alvaria (2022-11-01), Avaya (2022-09-13), NICE CXone (2026-08-03), Verint Workforce Management (2022-11-01)",
1024661836,TruStage Financial Group (formerly CUNA Mutual),cunamutual.com,Home & Auto Insurance,4200,Prospect,NICE,,NICE CXone (2021-12-12),
1024661837,CDW Distributing,cdw.com,Software,11100,Prospect,NICE,,NICE CXone (2026-07-13),
1024661838,Navy Federal Credit Union,navyfederal.org,Div Financial Services,21442,Prospect,,Verint,Verint Workforce Management (2026-02-05),
1024661892,Answer Financial,answerfinancial.com,Insurance,1000,Prospect,Avaya,Verint,"Avaya (2023-05-22), Verint Workforce Management (2022-06-14)",
1024661902,Windstream Communications,windstream.com,Telco/Cable,11080,Prospect,NICE,,"Avaya Call Management System (2022-04-01), NICE CXone (2025-08-09), NICE inContact (2023-12-07)",
1024661906,GoHealth,gohealth.com,Health Insurance,2467,Prospect,Five9,Calabrio,"Avaya (2024-11-24), Avaya Call Management System (2021-08-30), Calabrio (2024-11-23), Five9 (2025-01-22), RingCentral (2023-04-26), Verint Workforce Management (2023-04-17)",
1024661910,Penn Medicine,pennmedicine.org,Healthcare Provider,47035,Prospect,Avaya,Verint,"Avaya (2026-08-23), Five9 (2023-08-16), Verint Workforce Management (2022-09-20)",
1024661922,"eHealth , Inc.",ehealthinsurance.com,Home & Auto Insurance,1515,Prospect,NICE,Calabrio,"Avaya (2025-05-30), Calabrio (2024-11-20), NICE CXone (2022-01-03), NICE inContact (2026-08-02)",
1024661943,Williams-Sonoma,williams-sonomainc.com,Retail,12500,Prospect,Avaya,,"Amazon Connect (2026-06-03), Avaya (2026-06-03), Five9 (2026-06-03), Genesys (2026-06-03), Genesys Cloud (2026-06-03), Genesys Cloud CX (2026-06-03), NICE CXone (2026-06-03), RingCentral (2026-06-03), TalkDesk (2026-06-03), Webex Contact Center (2026-06-03)",
1024661962,SS&C Technologies,ssctech.com,Software,27600,Prospect,NICE,Calabrio,"Calabrio (2024-11-23), NICE CXone (2026-06-30), Nice Workforce Management (2024-09-04), RingCentral (2025-07-28)",
1024661963,Frost Bank,frostbank.com,Banking,4985,Prospect,Genesys,Verint,"Avaya (2025-07-15), Avaya Experience Portal (2024-10-16), Genesys (2025-09-09), Genesys Cloud (2025-07-15), Genesys Cloud CX (2025-07-15), Verint Workforce Management (2022-02-23)",
1024661973,Scotiabank,scotiabank.com,Div Financial Services,91013,Prospect,Genesys,Verint,"Amazon Connect (2026-05-30), Genesys Cloud (2026-07-09), NICE inContact (2026-05-30), Verint (2026-07-17)",
1024661981,American Express,americanexpress.com,Div Financial Services,77300,Prospect,Five9,Verint,"Amazon Connect (2026-08-30), Five9 (2026-08-30), Genesys Cloud (2026-07-25), NICE CXone (2026-07-25), Verint Workforce Management (2026-08-08)",
1024661982,Marriott,marriott.com,Hospitality,377000,Prospect,Amazon Connect,,"Amazon Connect (2026-04-30), Five9 (2026-04-30), NICE CXone (2026-04-13)",
1024661983,Bell Canada,bell.ca,Telco/Cable,44610,Prospect,Genesys,,"Amazon Connect (2026-07-21), Genesys Cloud (2026-08-19), NICE CXone (2026-08-19)",
1024661996,SUNPOWER,sunpower.com,Utilities,4710,Prospect,Five9,,"Amazon Connect (2023-11-07), Five9 (2024-08-29), NICE inContact (2024-08-29)",
1024662001,Westpac,westpac.com.au,Div Financial Services,34749,Prospect,Amazon Connect,,"Amazon Connect (2026-03-03), NICE inContact (2022-12-30)",
1024662004,Worldpay (UK),worldpay.com/en/uk,Div Financial Services,5000,Prospect,Five9,,"Five9 (2026-06-16), NICE CXone (2025-05-26)",
1024662040,Alfa Insurance,alfainsurance.com,Home & Auto Insurance,2600,Prospect,NICE,,NICE inContact (2026-05-20),
1024662051,Sedgwick,sedgwick.com,Home & Auto Insurance,31000,Prospect,Avaya,Verint,"Amazon Connect (2023-06-15), Avaya (2025-11-07), Five9 (2025-05-19), Genesys (2025-07-13), Genesys Cloud (2025-05-22), RingCentral (2025-05-19), Verint Workforce Management (2022-04-13)",
1024662060,1800Contacts,1800contacts.com,Retail,1230,Prospect,NICE,,NICE CXone (2026-02-10),
1024662062,LanguageLine Solutions,languageline.com,Other,6000,Prospect,NICE,,NICE CXone (2024-11-21),
1024662068,OMNICARE HEALTH NETWORK,omnicare.com,Retail,13000,Prospect,,Verint,Verint Workforce Management (2022-12-22),
1024662093,Lutron Electronics,lutron.com,Manufacturing,250,Prospect,NICE,,NICE inContact (2026-08-30),
1024662099,Tampa Electric Company,tampaelectric.com,Utilities,3236,Prospect,Amazon Connect,Verint,"Amazon Connect (2026-03-13), Avaya (2024-01-30), Verint Workforce Management (2024-09-23)",
1024662163,Manulife Financial Corporation,manulife.com,Div Financial Services,40000,Prospect,Genesys,Verint,"Avaya Call Management System (2022-12-09), Genesys Cloud (2026-01-01), Genesys Cloud CX (2026-01-01), Verint Workforce Management (2025-11-29)",
1024662169,W.W. Grainger (aka Grainger),grainger.com,Retail,23200,Prospect,Amazon Connect,Verint,"Amazon Connect (2026-06-29), Calabrio (2024-11-22), Five9 (2026-04-06), Genesys Cloud (2025-11-06), Verint (2025-02-11)",
1024662174,Columbia Sportswear,columbia.com,Retail,9450,Prospect,NICE,,NICE inContact (2026-08-25),
1024662212,Airbnb,airbnb.com,Hospitality,6811,Prospect,,Verint,Verint Workforce Management (2024-04-23),
1024662230,Freddie Mac,freddiemac.com,Div Financial Services,7799,Prospect,NICE,,NICE inContact (2020-11-12),
1024662239,Cinch Home Services,cinchhomeservices.com,Home & Auto Insurance,900,Prospect,NICE,,"Avaya (2022-05-26), Avaya Call Management System (2022-05-07), NICE CXone (2026-03-22)",
1024662281,Credit Acceptance,creditacceptance.com,Div Financial Services,2246,Prospect,Genesys,Aspect,"Alvaria (2024-11-20), Five9 (2025-06-12), Genesys (2026-09-04), Genesys Cloud (2026-09-04), Genesys Cloud CX (2026-01-26), NICE inContact (2024-11-14)",
1024662282,ADT,adt.com,Other,10000,Customer,Avaya,NICE,"Avaya Call Management System (2026-08-27), Five9 (2026-08-10), Nice Workforce Management (2022-01-03)",
1024662293,Purolator,purolator.com,Transportation,14000,Prospect,RingCentral,,"NICE inContact (2025-01-06), RingCentral (2026-04-06)",
1024662296,"Securian Financial Group, Inc.",securian.com,Div Financial Services,6500,Prospect,RingCentral,,"NICE CXone (2026-08-20), NICE inContact (2026-03-28), RingCentral (2026-08-20)",
1024662299,Blue Cross Blue Shield of Louisiana,bcbsla.com,Home & Auto Insurance,3000,Prospect,Avaya,Verint,"Avaya (2025-03-18), Verint Workforce Management (2023-06-15)",
1024662301,Ingram Micro,ingrammicro.com,Other,27700,Prospect,Five9,,"Five9 (2026-08-13), NICE CXone (2026-08-13)",
1024662303,Experian US,experian.com,Div Financial Services,21700,Prospect,NICE,,"Five9 (2026-05-28), NICE CXone (2026-05-28)",
1024662327,Penske Truck Leasing,pensketruckleasing.com,Transportation,43000,Prospect,NICE,,"Avaya (2026-03-12), NICE inContact (2026-05-14)",
1024662354,IBM India Non CRM,ibm.com,Outsourcer,434246,,NICE,Calabrio,"Calabrio (2026-08-27), NICE CXone (2026-03-29), NICE inContact (2025-10-05), RingCentral (2025-11-10)",
1024662391,Uline,uline.com,Manufacturing,9000,Prospect,Avaya,NICE,"Avaya (2022-07-16), Nice Workforce Management (2026-02-10)",
1024662397,GameStop Corp.,gamestop.com,Retail,11000,Prospect,NICE,,NICE CXone (2022-08-16),
1024662402,The Northwestern Mutual Life Insurance Company,northwesternmutual.com,Fin Services,5500,Customer,Five9,Verint,"Five9 (2026-04-30), Verint Workforce Management (2025-09-08)",
1024662422,SES,ses.com,Telco/Cable,2100,Prospect,NICE,,"NICE inContact (2026-08-28), RingCentral (2026-08-20)",
1024662441,Aspen Dental,aspendental.com,Healthcare Provider,10000,Prospect,NICE,Verint,"Alvaria (2024-09-03), Avaya (2024-08-27), Avaya Call Management System (2024-08-27), Calabrio (2024-09-02), Five9 (2024-11-07), NICE CXone (2025-04-15), RingCentral (2024-11-07), Verint Workforce Management (2026-08-13)",
1024662445,Teleperformance UK,teleperformance.com,Business Services,334896,Prospect,Genesys,Calabrio,"Alvaria (2025-03-10), Amazon Connect (2025-02-24), Avaya (2025-03-10), Calabrio (2025-03-10), Genesys (2026-03-25), Genesys Cloud (2025-04-09), Genesys Cloud CX (2026-03-12), NICE CXone (2024-10-21)",
1024662474,PODS Enterprises,pods.com,Transportation,3000,Prospect,Five9,Verint,"Five9 (2026-04-27), Verint Workforce Management (2022-06-22)",
1024662483,Tyco Fire,johnsoncontrols.com,Manufacturing,100000,Prospect,Amazon Connect,Aspect,"Alvaria (2026-03-10), Amazon Connect (2026-07-10), Genesys Cloud (2026-07-10), NICE inContact (2026-04-19)",
1024662485,Raymond James,raymondjames.com,Div Financial Services,14491,Prospect,NICE,,NICE CXone (2026-02-04),
1024662488,American Bankers Life Assurance Company of Florida,assurant.com,Insurance,14500,Prospect,NICE,Aspect,"Alvaria (2024-11-22), NICE CXone (2026-08-07), Webex Contact Center (2026-08-07)",
1024662489,"NRG Energy, Inc.",nrg.com,Utilities,6603,Prospect,Amazon Connect,Calabrio,"Amazon Connect (2026-05-31), Calabrio (2022-12-07), Five9 (2026-05-24), Genesys (2026-02-06), Genesys Cloud (2026-02-06), NICE CXone (2025-11-19)",
1024662501,Diamond Resorts International,diamondresorts.com,Hospitality,7184,Prospect,RingCentral,NICE,"Avaya (2022-04-21), Avaya Call Management System (2022-04-21), Nice Workforce Management (2024-11-16), RingCentral (2022-06-28)",
1024662514,MSC Industrial Direct,mscdirect.com,Retail,6765,Prospect,Avaya,Calabrio,"Avaya (2026-07-29), Avaya Call Management System (2026-07-21), Calabrio (2026-07-21), Verint (2024-04-14), Verint Workforce Management (2023-12-14)",
1024662525,Capita,capita.com,Technology,40000,Customer,Five9,Aspect,"Alvaria (2026-08-06), Five9 (2026-07-29), Verint Workforce Management (2023-04-25)",
1024662567,Verizon,verizon.com,Telco/Cable,160000,Prospect,NICE,,"Genesys Cloud (2026-06-23), Genesys Cloud CX (2024-10-13), NICE CXone (2026-06-23)",
1024662569,RAC,rac.co.uk,Consumer Services,4000,Prospect,,Verint,Verint (2017-07-31),
1024662587,Rentokil North America,rentokil.com,Business Services,19000,Prospect,,Verint,"Calabrio (2023-01-14), Verint Workforce Management (2023-01-14)",
1024662591,Progrexion,progrexion.com,Div Financial Services,3000,Prospect,Avaya,Verint,"Avaya (2023-09-11), Avaya Call Management System (2022-08-31), Verint (2020-08-19)",
1024662597,Healthfirst,healthfirst.org,Health Insurance,4385,Prospect,Avaya,Verint,"Avaya (2023-10-31), Verint Workforce Management (2023-12-16)",
1024662599,Grubhub Inc.,grubhub.com,Transportation,2400,Prospect,,Verint,Verint Workforce Management (2022-07-23),
1024662601,Uber,uber.com,Transportation,32200,Prospect,Genesys,NICE,"Avaya (2024-02-07), Genesys Cloud (2024-11-05), Nice Workforce Management (2025-09-29)",
1024662608,TaskUs,taskus.com,Outsourcer,7286,Prospect,Amazon Connect,NICE,"Amazon Connect (2026-08-19), Avaya (2026-06-29), Genesys (2026-07-10), Genesys Cloud (2026-07-10), NICE CXone (2023-09-01), Nice Workforce Management (2023-06-20), RingCentral (2026-08-02)",
1024662620,Change Healthcare LLC,changehealthcare.com,Software,14000,Prospect,Amazon Connect,Verint,"Amazon Connect (2022-09-08), NICE CXone (2021-12-02), Verint Workforce Management (2023-04-24)",
1024662626,Rollins,rollins.com,Other,13000,Prospect,Five9,,"Amazon Connect (2026-09-04), Avaya (2026-09-04), Five9 (2026-09-04), Genesys (2026-09-04), Genesys Cloud (2026-09-04), NICE CXone (2026-09-04)",
1024662630,Salesforce.com,salesforce.com,Technology,35000,Prospect,Five9,,"Five9 (2026-08-07), Genesys (2026-07-30), NICE CXone (2026-05-18), Webex Contact Center (2026-05-18)",
1024662670,UniFirst,unifirst.com,Manufacturing,16000,Prospect,Five9,,"Five9 (2025-11-02), NICE CXone (2024-12-22)",
1024662680,DHU Healthcare UK,dhuhealthcare.com,Healthcare Provider,4000,Prospect,,NICE,Nice Workforce Management (2025-03-25),
1024662681,Shellpoint Mortgage Servicing,shellpointmtg.com,,5000,Prospect,RingCentral,,"Avaya (2022-01-31), NICE inContact (2025-01-31), RingCentral (2025-04-30)",
1024662720,Rotech Healthcare,rotech.com,Manufacturing,3668,Prospect,NICE,,"NICE CXone (2026-08-14), NICE inContact (2026-04-15), Webex Contact Center (2026-04-15)",
1024662749,SimpliSafe,simplisafe.com,Business Services,1200,Prospect,Genesys,NICE,"Avaya (2025-08-23), Five9 (2025-06-08), Genesys (2025-09-17), Genesys Cloud (2025-08-27), Genesys Cloud CX (2025-08-27), Nice Workforce Management (2025-08-27)",
1024662801,Advance Auto Parts,advanceautoparts.com,Retail,40000,Prospect,,Verint,Verint Workforce Management (2023-08-21),
