domain,acd_latest,acd_last_seen,wfm_latest,all_platforms_with_dates,source,in_audiences
metlife.com,Genesys,2026-06-21,,"Avaya Call Management System (2022-08-16), Genesys Cloud (2026-06-21), Genesys Cloud CX (2026-05-26)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
nationalgrid.com,,,Calabrio,Calabrio (2024-11-17),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
nationalgridus.com,,,Calabrio,Calabrio (2024-11-25),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
optum.com,NICE,2026-08-23,Calabrio,"Calabrio (2026-07-26), NICE CXone (2026-08-23)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
paychex.com,Avaya,2023-02-16,Calabrio,"Avaya (2023-02-16), Calabrio (2023-07-23)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
point32health.org,Avaya,2024-12-16,Verint,"Avaya (2024-12-16), Verint Workforce Management (2026-05-27)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
prudential.com,Genesys,2026-07-06,,"Amazon Connect (2025-12-03), Avaya (2025-06-13), Five9 (2025-12-03), Genesys (2025-12-03), Genesys Cloud (2026-07-06), NICE CXone (2025-12-03)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
regions.com,Amazon Connect,2026-07-25,,"Amazon Connect (2026-07-25), Genesys Cloud (2025-02-12)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
synchrony.com,Avaya,2026-08-02,,Avaya (2026-08-02),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
thehartford.com,Genesys,2026-08-28,NICE,"Amazon Connect (2026-08-21), Five9 (2026-08-21), Genesys Cloud (2026-08-28), NICE CXone (2025-09-15), Nice Workforce Management (2024-11-16)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
travelers.com,Amazon Connect,2023-05-08,Aspect,"Alvaria (2024-11-14), Amazon Connect (2023-05-08)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
truist.com,RingCentral,2024-03-18,,RingCentral (2024-03-18),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
unitedutilities.com,Avaya,2025-04-03,,Avaya (2025-04-03),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
vnshealth.org,Five9,2026-08-22,,Five9 (2026-08-22),"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
wellsfargo.com,Genesys,2026-02-26,,"Amazon Connect (2026-02-26), Genesys Cloud (2026-02-26), TalkDesk (2026-02-26)","predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
anthem.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
bbandt.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
cvshealth.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
gs.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
lumeris.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
molinahealthcare.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
uhc.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
unitedhealthgroup.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
usbank.com,,,,,"predictleads via Clay workflow wf_0tkv9u0BKvNYsV4NsQx, 2026-09-05",yes
lacare.org,,,,Five9 (2026-03-17); Nice Workforce Management (2024-11-25),"predictleads via clay actions test, 2026-09-05",no
chpw.org,,,,,"predictleads via clay actions test, 2026-09-05",no
hmsa.com,,,,Amazon Connect (2026-04-01),"predictleads via clay actions test, 2026-09-05",no
myzinghealth.com,,,,RingCentral (2021-10-08),"predictleads via clay actions test, 2026-09-05",no
caloptima.org,,,,,"predictleads via clay actions test, 2026-09-05",no
solishealthplans.com,,,,,"predictleads via clay actions test, 2026-09-05",no
imperialhealthplan.com,,,,,"predictleads via clay actions test, 2026-09-05",no
metroplus.org,,,,Calabrio One (2023-01-18); Avaya (2022-01-08); Calabrio (2024-11-21),"predictleads via clay actions test, 2026-09-05",no
severntrent.co.uk,,,,,"predictleads via clay actions test, 2026-09-05",no
